school_id,name,address,school_type,region,total_students,total_posts,edu_office_code,edu_office_name,admin_standard_code,jurisdiction_org_name,road_address,road_address_detail,phone,homepage_url,coed_type,hs_general_type,anniversary_date,modified_date,school_level,founded_date,foundation_type,main_branch,operation_status,address_lot,latitude,longitude
B000012078,가락고등학교,서울특별시 송파구 송이로 42,고등학교,서울특별시,0,0,B10,서울특별시교육청,7010057,서울특별시교육청,서울특별시 송파구 송이로 42,(송파동/가락고등학교),02-416-4658,http://garak.sen.hs.kr,남여공학,일반계,19890428,20230615,고등학교,19881223,공립,본교,운영,서울특별시 송파구 송파동 172,37.50107579,127.1164258
B000008268,가락중학교,서울특별시 송파구 송이로 45,중학교,서울특별시,0,0,B10,서울특별시교육청,7130165,서울특별시강동송파교육지원청,서울특별시 송파구 송이로 45,(송파동/가락중학교),02-2143-3102,http://www.karak.ms.kr,남여공학,일반계,19860506,20230615,중학교,19860129,공립,본교,운영,서울특별시 송파구 송파동 168,37.50248553,127.1187527
B000008174,가산중학교,서울특별시 금천구 시흥대로115길 48,중학교,서울특별시,0,0,B10,서울특별시교육청,7041164,서울특별시남부교육지원청,서울특별시 금천구 시흥대로115길 48,(독산동),02-804-1777,http://www.gasan.ms.kr,남여공학,일반계,19710303,20230615,중학교,19700810,공립,본교,운영,서울특별시 금천구 독산동 300-21,37.46877706,126.8944749
B000008259,가원중학교,서울특별시 송파구 중대로10길 40-18,중학교,서울특별시,0,0,B10,서울특별시교육청,7130166,서울특별시강동송파교육지원청,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교),02-409-2179,www.gawon.ms.kr,남여공학,일반계,19881224,20230615,중학교,19881224,공립,본교,운영,서울특별시 송파구 가락동 106-3,37.49099949,127.1231711
B000022777,가재울고등학교,서울특별시 서대문구 수색로 100-35,고등학교,서울특별시,0,0,B10,서울특별시교육청,7011169,서울특별시교육청,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,남여공학,일반계,20130501,20230615,고등학교,20130301,공립,본교,운영,서울특별시 서대문구 북가좌동 476,37.57444587,126.9094148
B000022778,가재울중학교,서울특별시 서대문구 수색로 100-75,중학교,서울특별시,0,0,B10,서울특별시교육청,7031261,서울특별시서부교육지원청,서울특별시 서대문구 수색로 100-75,(북가좌동/ 가재울중학교),02-726-1700,http://gajaeul.sen.ms.kr,남여공학,해당없음,20130521,20230615,중학교,20130301,공립,본교,운영,서울특별시 서대문구 북가좌동 472,37.57517186,126.9099537
B000008378,강남중학교,서울특별시 동작구 대방동15길 29,중학교,서울특별시,0,0,B10,서울특별시교육청,7132123,서울특별시동작관악교육지원청,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교),02-814-5637,http://www.kangnam.ms.kr,남여공학,일반계,19590403,20230615,중학교,19590403,공립,본교,운영,서울특별시 동작구 대방동 390-6,37.50276263,126.9233466
B000012095,강동고등학교,서울특별시 강동구 구천면로 572,고등학교,서울특별시,0,0,B10,서울특별시교육청,7010117,서울특별시교육청,서울특별시 강동구 구천면로 572,(상일동),02-427-0231,http://kangdong.sen.hs.kr,남여공학,일반계,19850908,20230615,고등학교,19841217,사립,본교,운영,서울특별시 강동구 상일동 267,37.54991665,127.1606683
B000008285,강동중학교,서울특별시 강동구 풍산로 237,중학교,서울특별시,0,0,B10,서울특별시교육청,7130167,서울특별시강동송파교육지원청,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동),02-481-1503,http://www.gang-dong.ms.kr,남여공학,해당없음,20100301,20230615,중학교,20100301,공립,본교,운영,서울특별시 강동구 강일동 669,37.5696421,127.1777991
B000008282,강명중학교,서울특별시 강동구 상일로12길 56,중학교,서울특별시,0,0,B10,서울특별시교육청,7130168,서울특별시강동송파교육지원청,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교),02-440-3200,http://www.gangmyoung.ms.kr,남여공학,해당없음,20120506,20230705,중학교,20120301,공립,본교,운영,서울특별시 강동구 상일동 537,37.5554045,127.1750136
